0 3 48 24 31 7 8 9 6 37 38 39 18 19 20 21 22 27 49 2 25 26 23 28 44 45 41 17 14 40 32 43 46 11 30 42 35 36 10 1 4 5 15 16 47 12 34 33 29 13 0
0 3 48 24 31 7 8 9 6 37 38 39 18 19 20 21 22 27 49 2 25 26 23 28 44 45 41 17 14 40 32 43 46 11 30 42 35 36 10 1 4 5 15 16 47 12 34 33 29 13 0
0 3 48 24 31 7 8 9 6 37 38 39 18 19 20 21 22 27 49 2 25 26 23 28 44 45 41 17 14 40 32 43 46 11 30 42 35 36 10 1 4 5 15 16 47 34 33 29 13 12 0
0 3 48 24 39 18 19 31 7 8 9 6 37 38 20 21 22 27 49 2 25 26 23 28 44 45 41 17 14 40 32 43 46 11 30 42 35 36 10 1 4 5 15 16 47 34 33 29 13 12 0
0 3 24 39 31 18 19 7 8 9 6 37 38 20 21 22 27 49 2 25 26 23 28 44 45 41 17 14 40 32 43 46 11 30 42 35 36 10 1 4 5 15 16 47 34 33 29 13 48 12 0
0 3 24 39 31 18 19 7 8 9 6 37 38 20 21 22 27 49 2 25 26 23 28 44 45 41 17 14 40 32 43 46 11 30 42 35 36 10 1 4 5 15 16 47 34 33 29 13 48 12 0
0 28 44 45 41 3 48 24 39 29 19 31 7 8 9 6 37 38 20 21 22 27 49 2 25 26 23 17 14 40 32 43 46 11 30 42 35 36 10 1 4 5 15 16 47 34 33 18 13 12 0
0 3 24 39 31 18 19 7 8 9 6 37 38 20 21 22 27 2 25 26 23 28 44 45 41 17 14 40 32 43 46 11 49 30 42 35 36 10 1 4 5 15 16 47 34 33 29 13 48 12 0
0 3 24 39 31 18 19 7 8 9 6 37 38 20 21 22 27 2 25 26 23 28 44 45 41 17 14 40 32 43 46 11 49 30 42 35 36 10 1 4 5 15 48 12 16 47 34 33 29 13 0
0 28 44 45 41 3 48 24 39 29 19 31 7 8 9 6 37 38 18 20 21 22 27 2 49 25 26 23 17 14 40 32 43 46 11 30 42 35 36 10 1 4 5 15 16 47 34 33 13 12 0
0 17 14 40 32 43 46 11 49 30 42 35 36 10 1 4 5 15 16 47 34 33 29 13 48 12 3 24 39 31 18 19 7 8 9 28 44 45 41 6 37 38 20 21 22 27 2 25 26 23 0
0 17 14 40 32 43 46 11 49 30 42 35 36 10 1 4 5 15 16 47 34 33 29 13 48 12 3 24 39 31 18 19 7 8 9 28 44 45 41 6 37 38 20 21 22 27 2 25 26 23 0
0 17 14 40 32 43 46 11 49 30 42 35 36 10 1 4 5 15 16 47 34 33 29 13 48 12 3 24 39 28 44 45 41 19 31 7 8 9 6 37 38 18 20 21 22 27 2 25 26 23 0
0 17 14 40 32 43 46 11 49 30 42 35 36 10 1 4 5 15 16 47 34 33 29 13 48 12 3 24 39 31 18 19 7 8 9 28 44 45 6 37 38 20 21 22 27 2 25 26 41 23 0
0 17 14 40 32 43 46 11 49 30 42 35 4 10 1 36 5 15 16 47 34 33 29 13 48 12 3 24 39 31 18 19 7 8 9 28 44 45 41 6 37 38 20 21 22 27 2 25 26 23 0
0 17 14 40 32 43 46 11 49 30 42 35 4 10 1 36 5 15 16 47 34 33 29 13 48 12 3 24 39 31 18 19 28 44 45 7 8 9 6 37 38 20 21 22 27 2 25 26 41 23 0
