1 2 0.995761 0.503406 -0.159808 0.0055367
2 1.999 0.99106 0.500776 -0.153368 0.00483426
3 1.998 0.999433 0.505189 -0.161136 0.00471532
4 1.997 1.00566 0.500535 -0.133032 0.00550763
5 1.996 1.0149 0.503025 -0.132362 0.00476651
6 1.995 1.01994 0.500289 -0.135585 0.00492666
7 1.99401 1.02201 0.501811 -0.128009 0.00528911
8 1.99301 1.02435 0.50269 -0.130134 0.00477793
9 1.99201 1.03135 0.506257 -0.124811 0.0049796
10 1.99102 1.03413 0.502746 -0.112113 0.00483316
11 1.99002 1.03324 0.500082 -0.10208 0.00557338
12 1.98903 1.02699 0.495318 -0.0876348 0.00484135
13 1.98803 1.03329 0.498041 -0.102089 0.00564003
14 1.98704 1.03317 0.497007 -0.0967803 0.00494943
15 1.98605 1.02961 0.494278 -0.0888806 0.0051618
16 1.98505 1.03732 0.49599 -0.0942645 0.0054976
17 1.98406 1.0433 0.499828 -0.0945557 0.00497397
18 1.98307 1.04351 0.49844 -0.08523 0.0048048
19 1.98208 1.03806 0.497534 -0.0808587 0.00511662
20 1.98109 1.0439 0.496573 -0.0739061 0.00513741
21 1.98009 1.03849 0.495349 -0.0769629 0.00514439
22 1.9791 1.03678 0.494886 -0.0800771 0.00499975
23 1.97812 1.03334 0.490532 -0.076783 0.00511592
24 1.97713 1.03996 0.486576 -0.0698428 0.00562532
25 1.97614 1.03864 0.481833 -0.0371879 0.00555216
26 1.97515 1.04113 0.482588 -0.0421636 0.00549866
27 1.97416 1.03122 0.485055 -0.0649683 0.00572032
28 1.97317 1.03101 0.48038 -0.0506881 0.0058876
29 1.97219 1.0315 0.475967 -0.0183492 0.00591873
30 1.9712 1.02383 0.479647 -0.0593368 0.00556374
31 1.97022 1.03003 0.476286 -0.041051 0.00615754
32 1.96923 1.03038 0.481119 -0.0494556 0.0053344
33 1.96825 1.03252 0.484104 -0.0544653 0.00504187
34 1.96726 1.02356 0.480433 -0.0593614 0.00594806
35 1.96628 1.02031 0.482274 -0.0540134 0.00550742
36 1.9653 1.0134 0.483325 -0.0747253 0.00523499
37 1.96431 1.00681 0.487358 -0.0955378 0.00521509
