0 1 6 3 4 5 2 7 8 9 10 11 12 13 14 17 24 16 18 19 20 21 22 23 15 25 26 27 28 29 30 31 32 33 0
0 1 6 3 4 5 2 7 8 9 10 11 12 13 14 17 24 16 18 26 21 20 19 22 23 25 15 27 28 29 30 31 32 33 0
0 1 6 3 4 5 2 7 8 9 10 11 12 13 14 17 24 16 18 26 21 20 19 22 23 25 15 27 28 29 30 31 32 33 0
0 11 1 6 3 4 5 2 7 8 9 10 12 13 14 17 24 16 18 26 21 20 19 22 23 25 15 27 28 29 30 31 32 33 0
0 11 1 6 3 4 5 2 7 8 9 10 12 13 14 17 24 16 26 18 21 20 19 22 23 25 15 27 28 29 30 31 32 33 0
0 11 1 6 3 4 5 2 7 8 9 10 12 13 14 17 25 23 22 19 20 21 18 26 16 24 15 27 28 29 30 31 32 33 0
0 11 1 6 3 4 5 2 7 8 9 10 12 13 14 17 25 23 22 19 20 21 18 26 16 24 15 27 28 29 30 31 32 33 0
0 11 1 6 3 4 5 2 7 8 9 10 12 13 14 17 25 23 22 19 20 21 18 26 16 24 15 27 28 29 30 31 32 33 0
0 11 1 6 3 4 5 2 7 8 9 10 12 13 16 32 31 30 14 17 25 23 22 19 20 21 18 26 24 15 27 28 29 33 0
0 11 1 6 3 4 5 2 7 8 9 10 12 13 16 32 31 30 14 17 25 23 22 19 20 21 18 26 24 15 27 28 29 33 0
0 14 1 6 3 4 5 2 7 8 9 10 12 13 16 32 31 30 11 17 25 23 22 19 20 21 18 26 24 15 27 28 29 33 0
0 11 1 6 3 14 17 25 23 16 13 12 10 9 8 7 2 5 4 32 31 30 22 19 20 21 18 26 24 15 27 28 29 33 0
0 11 1 6 3 14 17 25 23 16 13 12 10 9 8 2 5 4 32 31 30 22 19 20 21 18 26 24 15 7 27 28 29 33 0
0 30 6 3 4 5 2 7 8 9 10 12 28 27 15 11 1 13 14 17 25 23 24 16 26 18 21 20 19 22 29 31 32 33 0
0 11 1 6 3 14 17 25 23 13 12 10 9 8 7 2 5 4 32 31 30 22 19 16 20 28 27 15 24 26 18 21 29 33 0
